"inei","reniec","departamento","provincia","distrito","region","macroregion_inei","macroregion_minsa","iso_3166_2","fips","capital","superficie","pob_densidad_2020","altitude","latitude","longitude","indice_vulnerabilidad_alimentaria","idh_2019","pct_pobreza_total","pct_pobreza_extrema"
10101,10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Chachapoyas","153.78","201.43711796072299",2338,-6.22944444444445,-77.8727777777777,0.279656827449799,0.642360593890392,9.034625,1.439875
10102,10102,"AMAZONAS","CHACHAPOYAS","ASUNCION","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Asunción","25.71","13.9634383508363",2823,-6.0325,-77.7108333333333,0.558548808097839,0.423031925028296,36.519949,15.68075
10103,10103,"AMAZONAS","CHACHAPOYAS","BALSAS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Balsas","357.09","4.0465988966367004",859,-6.83583333333333,-78.0197222222222,0.646749496459961,0.315308421322158,45.732962,15.42712
10104,10104,"AMAZONAS","CHACHAPOYAS","CHETO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Cheto","56.97","13.568544848165701",2143,-6.25555555555555,-77.7008333333333,0.530846059322357,0.345745781567757,39.169782,23.67841
10105,10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Chiliquín","143.43","6.8326012689116604",2677,-6.07833333333333,-77.7375,0.706854224205017,0.275037798834594,53.045662,36.39537
10106,10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Chuquibamba","278.63","7.9137207048774396",2803,-6.935,-77.8541666666667,0.699132204055786,0.269269728632059,51.607832,43.78883
10107,10107,"AMAZONAS","CHACHAPOYAS","GRANADA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Granada","181.41","3.1530786615952802",3041,-6.10638888888889,-77.6286111111111,0.617030620574951,0.358001458425031,43.865957,5.943345
10108,10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Huancas","48.79","10.801393728222999",2591,-6.17361111111111,-77.8644444444444,0.479354858398438,0.414755647270218,31.977312,12.50203
10109,10109,"AMAZONAS","CHACHAPOYAS","LA JALCA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"La Jalca","380.39","16.0598333289519",2869,-6.48472222222222,-77.815,0.636790215969086,0.295184437819084,47.947723,28.35085
10110,10110,"AMAZONAS","CHACHAPOYAS","LEIMEBAMBA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Leimebamba","373.14","9.7550517232138105",2226,-6.7075,-77.8038888888889,0.440641820430756,0.398950920974067,25.741684,15.19174
10111,10111,"AMAZONAS","CHACHAPOYAS","LEVANTO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Levanto","77.540000000000006","14.727882383286",2681,-6.30777777777778,-77.8991666666667,0.544558167457581,0.324295307546424,41.081444,24.37787
10112,10112,"AMAZONAS","CHACHAPOYAS","MAGDALENA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Magdalena","135.47","7.2119288403336501",1892,-6.37305555555555,-77.9016666666667,0.429324865341187,0.473769772128404,30.634088,20.61026
10113,10113,"AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Duraznopampa","83.58","12.969609954534601",2210,-6.59444444444444,-77.8086111111111,0.439787209033966,0.446101217220829,39.230882,18.90431
10114,10114,"AMAZONAS","CHACHAPOYAS","MOLINOPAMPA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Molinopampa","333.86","7.8685676630923096",2405,-6.20916666666667,-77.6691666666667,0.539001107215881,0.380907159068978,35.654304,25.45505
10115,10115,"AMAZONAS","CHACHAPOYAS","MONTEVIDEO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Montevideo","119.01","6.3776153264431601",2421,-6.61805555555555,-77.8022222222222,0.438624799251557,0.447630676188927,38.644489,10.08896
10116,10116,"AMAZONAS","CHACHAPOYAS","OLLEROS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Olleros","125.16","3.7551933525087899",3053,-6.02388888888889,-77.6763888888889,0.587108671665192,0.364667298382429,47.9082,2.628461
10117,10117,"AMAZONAS","CHACHAPOYAS","QUINJALCA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Quinjalca","91.59","11.1693416311824",3151,-6.09138888888889,-77.6786111111111,0.687150120735168,0.341954115321283,47.119202,19.34588
10118,10118,"AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Daguas","47.41","7.3824087745201403",2254,-6.22916666666667,-77.74,0.397033512592316,0.489705575826164,29.704094,7.683372
10119,10119,"AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Maino","101.67","6.9735418510868499",2339,-6.33722222222222,-77.8805555555555,0.597339868545532,0.321841647375863,43.370115,27.92597
10120,10120,"AMAZONAS","CHACHAPOYAS","SOLOCO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Soloco","84.48","19.625946969697001",2387,-6.26055555555555,-77.7441666666667,0.58845716714859,0.344628159000522,41.062364,21.18722
10121,10121,"AMAZONAS","CHACHAPOYAS","SONCHE","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"San Juan de Sonche","113.26","3.41691682853611",2089,-6.21888888888889,-77.7752777777778,0.644582867622376,0.372094481565758,55.850202,52.77253
10201,10205,"AMAZONAS","BAGUA","BAGUA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Bagua","150.99","181.62129942380301",408,-5.63888888888889,-78.5311111111111,0.233058214187622,0.584063033773132,16.212835,4.467983
10202,10202,"AMAZONAS","BAGUA","ARAMANGO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Aramango","809.07","15.321294819978499",502,-5.41638888888889,-78.4377777777778,0.657975673675537,0.361182152533835,38.525807,19.27075
10203,10203,"AMAZONAS","BAGUA","COPALLIN","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Copallín","99.05","57.486118122160498",693,-5.675,-78.4230555555555,0.497964084148407,0.467245207758446,24.530258,11.24363
10204,10204,"AMAZONAS","BAGUA","EL PARCO","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"El Parco","18.48","93.019480519480496",626,-5.625,-78.4752777777778,0.551598131656647,0.489048641213126,35.249588,12.15905
10205,10206,"AMAZONAS","BAGUA","IMAZA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Chiriaco","4430.84","9.2451995558404292",317,-5.16361111111111,-78.2888888888889,0.684308528900146,0.298089241112547,53.94969,48.88884
10206,10201,"AMAZONAS","BAGUA","LA PECA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"La Peca","144.29","68.708850232171301",892,-5.61194444444444,-78.4369444444445,0.473127365112305,0.490583795558475,34.761666,21.7995
10301,10301,"AMAZONAS","BONGARA","JUMBILLA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Jumbilla","154.18","7.8674276819302102",2081,-5.90444444444445,-77.7977777777778,0.352686524391174,0.451394193185704,29.547678,5.12921
10302,10304,"AMAZONAS","BONGARA","CHISQUILLA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Chisquilla","174.96","3.0064014631915899",2057,-5.8975,-77.7861111111111,0.511480987071991,0.474974891206606,42.24183,22.56179
10303,10305,"AMAZONAS","BONGARA","CHURUJA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Churuja","33.340000000000003","11.4577084583083",1399,-6.01944444444445,-77.9519444444445,0.388458788394928,0.515913557019013,20.78695,1.867667
10304,10302,"AMAZONAS","BONGARA","COROSHA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Corosha","45.67","21.699146047733699",2297,-5.84333333333333,-77.8225,0.570774435997009,0.395898212710819,54.796368,24.57763
10305,10303,"AMAZONAS","BONGARA","CUISPES","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Cuispes","110.72","7.4692919075144504",1912,-5.92833333333333,-77.9461111111111,0.632771730422974,0.299445065686758,45.831589,12.79052
10306,10306,"AMAZONAS","BONGARA","FLORIDA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Florida (Pomacochas)","203.22","31.886625332152299",2251,-5.82611111111111,-77.9694444444445,0.498434185981751,0.359323571197629,33.682214,6.34247
10307,10312,"AMAZONAS","BONGARA","JAZAN","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Pedro Ruiz Gallo","88.83","94.461330631543404",1342,-5.94138888888889,-77.9772222222222,0.27520889043808,0.511258094896226,22.712901,13.66821
10308,10307,"AMAZONAS","BONGARA","RECTA","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"Recta","24.58","13.873067534581001",2166,-5.91777777777778,-77.7888888888889,0.661752343177796,0.324005334659494,38.690705,15.61683
10309,10308,"AMAZONAS","BONGARA","SAN CARLOS","AMAZONAS","ORIENTE","MACROREGION ORIENTE","PE-AMA",1,"San Carlos","100.76","5.1111552203255304",1942,-5.96611111111111,-77.9452777777778,0.61112654209137,0.348034093956714,28.9591,4.725558
