"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"PARTIDO NACIONALISTA PERUANO","356","9.327%","6.389%","AMAZONAS","BAGUA","ARAMANGO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.341%","0.233%","AMAZONAS","BAGUA","ARAMANGO"
"PARTIDO MORADO","41","1.074%","0.736%","AMAZONAS","BAGUA","ARAMANGO"
"PERU PATRIA SEGURA","4","0.105%","0.072%","AMAZONAS","BAGUA","ARAMANGO"
"VICTORIA NACIONAL","151","3.956%","2.710%","AMAZONAS","BAGUA","ARAMANGO"
"ACCION POPULAR","267","6.995%","4.792%","AMAZONAS","BAGUA","ARAMANGO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","69","1.808%","1.238%","AMAZONAS","BAGUA","ARAMANGO"
"PODEMOS PERU","265","6.943%","4.756%","AMAZONAS","BAGUA","ARAMANGO"
"JUNTOS POR EL PERU","105","2.751%","1.884%","AMAZONAS","BAGUA","ARAMANGO"
"PARTIDO POPULAR CRISTIANO - PPC","8","0.210%","0.144%","AMAZONAS","BAGUA","ARAMANGO"
"FUERZA POPULAR","673","17.632%","12.078%","AMAZONAS","BAGUA","ARAMANGO"
"UNION POR EL PERU","45","1.179%","0.808%","AMAZONAS","BAGUA","ARAMANGO"
"RENOVACION POPULAR","252","6.602%","4.523%","AMAZONAS","BAGUA","ARAMANGO"
"RENACIMIENTO UNIDO NACIONAL","42","1.100%","0.754%","AMAZONAS","BAGUA","ARAMANGO"
"PARTIDO DEMOCRATICO SOMOS PERU","27","0.707%","0.485%","AMAZONAS","BAGUA","ARAMANGO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","1,250","32.748%","22.434%","AMAZONAS","BAGUA","ARAMANGO"
"DEMOCRACIA DIRECTA","8","0.210%","0.144%","AMAZONAS","BAGUA","ARAMANGO"
"ALIANZA PARA EL PROGRESO","241","6.314%","4.325%","AMAZONAS","BAGUA","ARAMANGO"
"PARTIDO NACIONALISTA PERUANO","506","4.976%","3.720%","AMAZONAS","BAGUA","BAGUA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","20","0.197%","0.147%","AMAZONAS","BAGUA","BAGUA"
"PARTIDO MORADO","107","1.052%","0.787%","AMAZONAS","BAGUA","BAGUA"
"PERU PATRIA SEGURA","26","0.256%","0.191%","AMAZONAS","BAGUA","BAGUA"
"VICTORIA NACIONAL","605","5.950%","4.448%","AMAZONAS","BAGUA","BAGUA"
"ACCION POPULAR","931","9.156%","6.845%","AMAZONAS","BAGUA","BAGUA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","375","3.688%","2.757%","AMAZONAS","BAGUA","BAGUA"
"PODEMOS PERU","276","2.714%","2.029%","AMAZONAS","BAGUA","BAGUA"
"JUNTOS POR EL PERU","469","4.613%","3.448%","AMAZONAS","BAGUA","BAGUA"
"PARTIDO POPULAR CRISTIANO - PPC","58","0.570%","0.426%","AMAZONAS","BAGUA","BAGUA"
"FUERZA POPULAR","1,658","16.306%","12.189%","AMAZONAS","BAGUA","BAGUA"
"UNION POR EL PERU","248","2.439%","1.823%","AMAZONAS","BAGUA","BAGUA"
"RENOVACION POPULAR","925","9.097%","6.800%","AMAZONAS","BAGUA","BAGUA"
"RENACIMIENTO UNIDO NACIONAL","34","0.334%","0.250%","AMAZONAS","BAGUA","BAGUA"
"PARTIDO DEMOCRATICO SOMOS PERU","117","1.151%","0.860%","AMAZONAS","BAGUA","BAGUA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","2,540","24.980%","18.674%","AMAZONAS","BAGUA","BAGUA"
"DEMOCRACIA DIRECTA","26","0.256%","0.191%","AMAZONAS","BAGUA","BAGUA"
"ALIANZA PARA EL PROGRESO","1,247","12.264%","9.168%","AMAZONAS","BAGUA","BAGUA"
"PARTIDO NACIONALISTA PERUANO","440","21.154%","15.315%","AMAZONAS","BAGUA","COPALLIN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","12","0.577%","0.418%","AMAZONAS","BAGUA","COPALLIN"
"PARTIDO MORADO","15","0.721%","0.522%","AMAZONAS","BAGUA","COPALLIN"
"PERU PATRIA SEGURA","2","0.096%","0.070%","AMAZONAS","BAGUA","COPALLIN"
"VICTORIA NACIONAL","86","4.135%","2.993%","AMAZONAS","BAGUA","COPALLIN"
"ACCION POPULAR","220","10.577%","7.658%","AMAZONAS","BAGUA","COPALLIN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","40","1.923%","1.392%","AMAZONAS","BAGUA","COPALLIN"
"PODEMOS PERU","28","1.346%","0.975%","AMAZONAS","BAGUA","COPALLIN"
"JUNTOS POR EL PERU","107","5.144%","3.724%","AMAZONAS","BAGUA","COPALLIN"
"PARTIDO POPULAR CRISTIANO - PPC","6","0.288%","0.209%","AMAZONAS","BAGUA","COPALLIN"
"FUERZA POPULAR","235","11.298%","8.180%","AMAZONAS","BAGUA","COPALLIN"
"UNION POR EL PERU","71","3.413%","2.471%","AMAZONAS","BAGUA","COPALLIN"
"RENOVACION POPULAR","127","6.106%","4.420%","AMAZONAS","BAGUA","COPALLIN"
"RENACIMIENTO UNIDO NACIONAL","16","0.769%","0.557%","AMAZONAS","BAGUA","COPALLIN"
"PARTIDO DEMOCRATICO SOMOS PERU","25","1.202%","0.870%","AMAZONAS","BAGUA","COPALLIN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","481","23.125%","16.742%","AMAZONAS","BAGUA","COPALLIN"
"DEMOCRACIA DIRECTA","2","0.096%","0.070%","AMAZONAS","BAGUA","COPALLIN"
"ALIANZA PARA EL PROGRESO","167","8.029%","5.813%","AMAZONAS","BAGUA","COPALLIN"
"PARTIDO NACIONALISTA PERUANO","117","15.726%","12.238%","AMAZONAS","BAGUA","EL PARCO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.403%","0.314%","AMAZONAS","BAGUA","EL PARCO"
"PARTIDO MORADO","3","0.403%","0.314%","AMAZONAS","BAGUA","EL PARCO"
"PERU PATRIA SEGURA","1","0.134%","0.105%","AMAZONAS","BAGUA","EL PARCO"
"VICTORIA NACIONAL","60","8.065%","6.276%","AMAZONAS","BAGUA","EL PARCO"
"ACCION POPULAR","64","8.602%","6.695%","AMAZONAS","BAGUA","EL PARCO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","14","1.882%","1.464%","AMAZONAS","BAGUA","EL PARCO"
"PODEMOS PERU","14","1.882%","1.464%","AMAZONAS","BAGUA","EL PARCO"
"JUNTOS POR EL PERU","37","4.973%","3.870%","AMAZONAS","BAGUA","EL PARCO"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.134%","0.105%","AMAZONAS","BAGUA","EL PARCO"
"FUERZA POPULAR","71","9.543%","7.427%","AMAZONAS","BAGUA","EL PARCO"
